industryId,lang,problemId,question,relatedResourceIds,relatedGlossaryTermIds,relatedToolIds,dateModified,editorialStatus
water-testing-labs,ca,reduce-turnaround,Com reduir el TAT sense afeblir la revisió tècnica?,iso-17025-water-laboratories-guide,digital-chain-of-custody,aquatool-cfu,2026-06-23,published
water-testing-labs,ca,preserve-custody,Com mantenir la cadena de custòdia i la traçabilitat dels lots?,iso-17025-water-laboratories-guide,digital-chain-of-custody,aquatool-cfu,2026-06-23,published
water-testing-labs,ca,improve-client-visibility,Com donar més visibilitat als clients B2B sense dependre dels correus?,iso-17025-water-laboratories-guide,digital-chain-of-custody,aquatool-cfu,2026-06-23,published
water-testing-labs,ca,add-services-with-quality,Com incorporar nous assajos sense alterar el sistema de qualitat?,iso-17025-water-laboratories-guide,digital-chain-of-custody,aquatool-cfu,2026-06-23,published
water-quality-control,en,define-risk-programme,"How do we define the truly critical points, frequencies and indicators?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,en,consolidate-water-data,"How can we consolidate results from multiple sites, laboratories and matrices?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,en,respond-to-deviations,How can we respond quickly when a deviation appears?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,en,prove-decisions,How can we prove why an operational decision was made?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,en,move-to-prevention,How can we move from reactive control to preventive management?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,es,define-risk-programme,"¿Cómo definir los puntos, frecuencias e indicadores realmente críticos?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,es,consolidate-water-data,"¿Cómo consolidar resultados de varias sedes, laboratorios y matrices?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,es,respond-to-deviations,¿Cómo responder con rapidez cuando aparece una desviación?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,es,prove-decisions,¿Cómo demostrar por qué se tomó una decisión operativa?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,es,move-to-prevention,¿Cómo pasar de un control reactivo a una gestión preventiva?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,fr,define-risk-programme,"Comment définir les points, fréquences et indicateurs réellement critiques ?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,fr,consolidate-water-data,"Comment consolider les résultats de plusieurs sites, laboratoires et matrices ?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,fr,respond-to-deviations,Comment réagir rapidement lorsqu’une déviation apparaît ?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,fr,prove-decisions,Comment démontrer pourquoi une décision opérationnelle a été prise ?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,fr,move-to-prevention,Comment passer d’un contrôle réactif à une gestion préventive ?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,it,define-risk-programme,"Come definire punti, frequenze e indicatori realmente critici?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,it,consolidate-water-data,"Come consolidare risultati di più siti, laboratori e matrici?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,it,respond-to-deviations,Come reagire rapidamente quando compare una deviazione?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,it,prove-decisions,Come dimostrare perché è stata presa una decisione operativa?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,it,move-to-prevention,Come passare da un controllo reattivo a una gestione preventiva?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,ca,define-risk-programme,"Com definir els punts, les freqüències i els indicadors realment crítics?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,ca,consolidate-water-data,"Com consolidar resultats de diverses seus, laboratoris i matrius?",water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,ca,respond-to-deviations,Com respondre ràpidament quan apareix una desviació?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,ca,prove-decisions,Com demostrar per què es va prendre una decisió operativa?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
water-quality-control,ca,move-to-prevention,Com passar d’un control reactiu a una gestió preventiva?,water-compliance-software-guide,deviation,aquatool-recovery-rpd,2026-06-23,published
municipal-water-testing,en,coordinate-field-lab-operator,"How can field teams, laboratories, operators and municipal owners work together?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,en,understand-system-performance,"How can we understand what happens between source, treatment, storage and network?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,en,manage-incidents,How can we manage an incident without rebuilding the history from scratch?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,en,document-risk-and-compliance,How can we document water safety plans and applicable requirements?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,en,operate-with-limited-resources,How can a useful programme work for small municipalities or outsourced laboratories?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,es,coordinate-field-lab-operator,"¿Cómo coordinar campo, laboratorio, operador y responsable municipal?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,es,understand-system-performance,"¿Cómo saber qué ocurre entre captación, tratamiento, depósito y red?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,es,manage-incidents,¿Cómo gestionar una incidencia sin reconstruir el historial desde cero?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,es,document-risk-and-compliance,¿Cómo documentar planes de seguridad del agua y requisitos aplicables?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,es,operate-with-limited-resources,¿Cómo implantar un programa útil en municipios pequeños o con laboratorio externo?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,fr,coordinate-field-lab-operator,"Comment coordonner terrain, laboratoire, opérateur et responsable municipal ?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,fr,understand-system-performance,"Comment comprendre ce qui se passe entre captage, traitement, réservoir et réseau ?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,fr,manage-incidents,Comment gérer un incident sans reconstruire tout l’historique ?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,fr,document-risk-and-compliance,Comment documenter les plans de sécurité de l’eau et les exigences applicables ?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,fr,operate-with-limited-resources,Comment déployer un programme utile dans une petite collectivité ou avec un laboratoire externe ?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,it,coordinate-field-lab-operator,"Come coordinare campo, laboratorio, operatore e responsabile municipale?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,it,understand-system-performance,"Come capire cosa succede tra captazione, trattamento, serbatoio e rete?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,it,manage-incidents,Come gestire un incidente senza ricostruire lo storico da zero?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,it,document-risk-and-compliance,Come documentare piani di sicurezza dell’acqua e requisiti applicabili?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,it,operate-with-limited-resources,Come implementare un programma utile nei piccoli comuni o con laboratorio esterno?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,ca,coordinate-field-lab-operator,"Com coordinar camp, laboratori, operador i responsable municipal?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,ca,understand-system-performance,"Com saber què passa entre captació, tractament, dipòsit i xarxa?",rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,ca,manage-incidents,Com gestionar una incidència sense reconstruir l’històric des de zero?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,ca,document-risk-and-compliance,Com documentar plans de seguretat de l’aigua i requisits aplicables?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
municipal-water-testing,ca,operate-with-limited-resources,Com implantar un programa útil en municipis petits o amb laboratori extern?,rd-3-2023-somatic-coliphages-guide|iso-19458-water-microbiological-sampling,water-safety-plan,,2026-06-23,published
food-beverage-water-quality,en,identify-critical-water-uses,Which water uses are truly critical for product and process?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,en,avoid-batch-delays,How can we prevent a late result from holding a batch or line?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,en,prove-cip-rinse,"How can we prove that CIP, sanitation and final rinse were adequate?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,en,manage-deviations-and-suppliers,How can we manage deviations and external laboratories without losing context?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,en,standardise-multisite-audits,"How can we maintain consistent criteria across plants, suppliers and customer audits?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,es,identify-critical-water-uses,¿Qué usos del agua son realmente críticos para producto y proceso?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,es,avoid-batch-delays,¿Cómo evitar que un resultado tardío bloquee un lote o una línea?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,es,prove-cip-rinse,"¿Cómo demostrar que CIP, saneamiento y enjuague final fueron adecuados?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,es,manage-deviations-and-suppliers,¿Cómo gestionar desviaciones y laboratorios externos sin perder contexto?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,es,standardise-multisite-audits,"¿Cómo mantener criterios consistentes entre plantas, proveedores y auditorías de cliente?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,fr,identify-critical-water-uses,Quels usages de l’eau sont réellement critiques pour le produit et le procédé ?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,fr,avoid-batch-delays,Comment éviter qu’un résultat tardif bloque un lot ou une ligne ?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,fr,prove-cip-rinse,"Comment démontrer que le CIP, l’assainissement et le rinçage final étaient adaptés ?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,fr,manage-deviations-and-suppliers,Comment gérer déviations et laboratoires externes sans perdre le contexte ?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,fr,standardise-multisite-audits,"Comment maintenir des critères cohérents entre sites, fournisseurs et audits clients ?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,it,identify-critical-water-uses,Quali usi dell’acqua sono realmente critici per prodotto e processo?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,it,avoid-batch-delays,Come evitare che un risultato tardivo blocchi un lotto o una linea?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,it,prove-cip-rinse,"Come dimostrare che CIP, sanificazione e risciacquo finale sono stati adeguati?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,it,manage-deviations-and-suppliers,Come gestire deviazioni e laboratori esterni senza perdere il contesto?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,it,standardise-multisite-audits,"Come mantenere criteri coerenti tra stabilimenti, fornitori e audit cliente?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,ca,identify-critical-water-uses,Quins usos de l’aigua són realment crítics per al producte i el procés?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,ca,avoid-batch-delays,Com evitar que un resultat tardà bloquegi un lot o una línia?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,ca,prove-cip-rinse,"Com demostrar que el CIP, el sanejament i l’esbandida final han estat adequats?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,ca,manage-deviations-and-suppliers,Com gestionar desviacions i laboratoris externs sense perdre context?,food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
food-beverage-water-quality,ca,standardise-multisite-audits,"Com mantenir criteris coherents entre plantes, proveïdors i auditories de client?",food-beverage-water-microbiology-guide,haccp,,2026-06-23,published
industrial-process-water,en,map-water-circuits,How can we map water circuits and critical points without blind spots?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,en,connect-results-to-assets,How can we link a result to the asset or process that may be affected?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,en,coordinate-labs-and-suppliers,"How can we coordinate multiple laboratories, suppliers and report formats?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,en,control-reuse-and-effluent,"How can we document reuse, recirculation, effluent and treatment changes?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,en,compare-multisite-performance,How can we compare plants and close corrective actions consistently?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,es,map-water-circuits,¿Cómo mapear circuitos y puntos críticos sin dejar zonas ciegas?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,es,connect-results-to-assets,¿Cómo relacionar un resultado con el activo o proceso que puede quedar afectado?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,es,coordinate-labs-and-suppliers,"¿Cómo coordinar varios laboratorios, proveedores y formatos de informe?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,es,control-reuse-and-effluent,"¿Cómo documentar reutilización, recirculación, efluentes y cambios de tratamiento?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,es,compare-multisite-performance,¿Cómo comparar plantas y cerrar acciones correctoras de forma consistente?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,fr,map-water-circuits,Comment cartographier les circuits et points critiques sans zones aveugles ?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,fr,connect-results-to-assets,Comment relier un résultat à l’actif ou au procédé potentiellement affecté ?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,fr,coordinate-labs-and-suppliers,"Comment coordonner plusieurs laboratoires, fournisseurs et formats de rapport ?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,fr,control-reuse-and-effluent,"Comment documenter réutilisation, recirculation, effluents et changements de traitement ?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,fr,compare-multisite-performance,Comment comparer les sites et clôturer les actions correctives de manière cohérente ?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,it,map-water-circuits,Come mappare circuiti e punti critici senza lasciare zone cieche?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,it,connect-results-to-assets,Come collegare un risultato all’asset o processo che può essere interessato?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,it,coordinate-labs-and-suppliers,"Come coordinare più laboratori, fornitori e formati di report?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,it,control-reuse-and-effluent,"Come documentare riutilizzo, ricircolo, effluenti e modifiche di trattamento?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,it,compare-multisite-performance,Come confrontare stabilimenti e chiudere azioni correttive in modo coerente?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,ca,map-water-circuits,Com mapar circuits i punts crítics sense deixar zones cegues?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,ca,connect-results-to-assets,Com relacionar un resultat amb l’actiu o procés que pot quedar afectat?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,ca,coordinate-labs-and-suppliers,"Com coordinar diversos laboratoris, proveïdors i formats d’informe?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,ca,control-reuse-and-effluent,"Com documentar reutilització, recirculació, efluents i canvis de tractament?",water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
industrial-process-water,ca,compare-multisite-performance,Com comparar plantes i tancar accions correctores de manera coherent?,water-compliance-software-guide,process-water,aquatool-hardness-alkalinity,2026-06-23,published
facility-water-risk,en,inventory-assets-and-points,How can we maintain a reliable inventory of water assets and points?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,en,schedule-recurring-controls,"How can we prevent recurring, exceptional or reopening controls from being missed?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,en,manage-aerosol-risk,How can we manage Legionella and aerosol-related risks with complete evidence?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,en,coordinate-providers,"How can owners, maintenance teams, laboratories and external providers coordinate?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,en,govern-multisite-portfolios,How can we compare a multi-site portfolio and prioritise resources?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,es,inventory-assets-and-points,¿Cómo mantener un inventario fiable de activos y puntos de agua?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,es,schedule-recurring-controls,"¿Cómo evitar que se olviden controles recurrentes, extraordinarios o de reapertura?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,es,manage-aerosol-risk,¿Cómo gestionar riesgos asociados a Legionella y aerosolización con evidencia completa?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,es,coordinate-providers,"¿Cómo coordinar propiedad, mantenimiento, laboratorio y proveedores externos?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,es,govern-multisite-portfolios,¿Cómo comparar una cartera multisede y priorizar recursos?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,fr,inventory-assets-and-points,Comment maintenir un inventaire fiable des actifs et points d’eau ?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,fr,schedule-recurring-controls,"Comment éviter d’oublier les contrôles récurrents, exceptionnels ou de réouverture ?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,fr,manage-aerosol-risk,Comment gérer les risques Legionella et aérosols avec une preuve complète ?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,fr,coordinate-providers,"Comment coordonner propriétaire, maintenance, laboratoire et prestataires externes ?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,fr,govern-multisite-portfolios,Comment comparer un portefeuille multisites et prioriser les ressources ?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,it,inventory-assets-and-points,Come mantenere un inventario affidabile di asset e punti acqua?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,it,schedule-recurring-controls,"Come evitare che vengano dimenticati controlli ricorrenti, straordinari o di riapertura?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,it,manage-aerosol-risk,Come gestire rischi Legionella e aerosol con evidenza completa?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,it,coordinate-providers,"Come coordinare proprietà, manutenzione, laboratorio e fornitori esterni?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,it,govern-multisite-portfolios,Come confrontare un portafoglio multisito e prioritizzare le risorse?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,ca,inventory-assets-and-points,Com mantenir un inventari fiable d’actius i punts d’aigua?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,ca,schedule-recurring-controls,"Com evitar que s’oblidin controls recurrents, extraordinaris o de reobertura?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,ca,manage-aerosol-risk,Com gestionar riscos de Legionella i aerosolització amb evidència completa?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,ca,coordinate-providers,"Com coordinar propietat, manteniment, laboratori i proveïdors externs?",legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
facility-water-risk,ca,govern-multisite-portfolios,Com comparar una cartera multiseu i prioritzar recursos?,legionella-facility-water-risk-guide|iso-19458-water-microbiological-sampling,legionella,,2026-06-23,published
agriculture-water,en,manage-variable-sources,"How can we manage water sources that change with season, rainfall or operation?",viral-pollution-wastewater-mediterranean-ecosystems,reclaimed-water,aquatool-chemical-species,2026-06-23,published
agriculture-water,en,link-water-to-crop,"How can every result be linked to plot, crop, lot and season?",viral-pollution-wastewater-mediterranean-ecosystems,reclaimed-water,aquatool-chemical-species,2026-06-23,published
agriculture-water,en,control-reclaimed-water,How can reclaimed-water use and the risk plan be documented?,viral-pollution-wastewater-mediterranean-ecosystems,reclaimed-water,aquatool-chemical-species,2026-06-23,published
